Date,N_p,N_n,N_total,Actual_Return,Signal,Direction,Signal_Direction
2012-06-14,0.0,0.0,1.0,0.0062867761158116,0.0,1,동률
2012-06-15,1.0,0.0,1.0,0.0128581546218464,1.0,1,"긍정 우세
(N_p > N_n)"
2012-06-19,0.0,0.0,1.0,0.0118915393794829,0.0,1,동률
2012-06-21,1.0,0.0,1.0,-0.0243511626099307,1.0,0,"긍정 우세
(N_p > N_n)"
2012-06-26,1.0,0.0,1.0,0.006311402402928,1.0,1,"긍정 우세
(N_p > N_n)"
2012-06-27,1.0,0.0,1.0,0.007449040780207,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-02,1.0,0.0,1.0,0.0055126595361074,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-03,1.0,0.0,2.0,0.0084202511565374,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-05,1.0,0.0,1.0,1.3453624045256518e-05,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-11,1.0,0.0,2.0,-0.004944336884494,1.0,0,"긍정 우세
(N_p > N_n)"
2012-07-13,1.0,0.0,1.0,0.0147513005631898,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-26,1.0,0.0,1.0,0.0136673895324483,1.0,1,"긍정 우세
(N_p > N_n)"
2012-07-30,1.0,0.0,2.0,-0.004141185574485,1.0,0,"긍정 우세
(N_p > N_n)"
2012-07-31,1.0,0.0,1.0,-0.0021454213979077,1.0,0,"긍정 우세
(N_p > N_n)"
2012-08-01,1.0,0.0,2.0,-0.0065691196064142,1.0,0,"긍정 우세
(N_p > N_n)"
2012-08-02,2.0,0.0,3.0,-0.003575065336363,2.0,0,"긍정 우세
(N_p > N_n)"
2012-08-07,0.0,0.0,1.0,0.0086792565914444,0.0,1,동률
2012-08-09,0.0,0.0,1.0,0.0024540946710254,0.0,1,동률
2012-08-10,1.0,0.0,2.0,0.0007355017235439,1.0,1,"긍정 우세
(N_p > N_n)"
2012-08-15,0.0,0.0,2.0,0.0046238129726361,0.0,1,동률
2012-08-21,1.0,0.0,3.0,-0.0029094084231973,1.0,0,"긍정 우세
(N_p > N_n)"
2012-08-22,1.0,0.0,1.0,0.0020897843968123,1.0,1,"긍정 우세
(N_p > N_n)"
2012-08-24,1.0,0.0,1.0,0.005367831677131,1.0,1,"긍정 우세
(N_p > N_n)"
2012-08-30,1.0,0.0,1.0,-0.0105413756004688,1.0,0,"긍정 우세
(N_p > N_n)"
2012-09-04,1.0,0.0,1.0,0.002641083600509,1.0,1,"긍정 우세
(N_p > N_n)"
2012-09-05,0.0,0.0,1.0,-0.0018829027570758,0.0,0,동률
2012-09-06,1.0,0.0,1.0,0.0216794347317355,1.0,1,"긍정 우세
(N_p > N_n)"
2012-09-07,0.0,0.0,1.0,0.0001944834890681,0.0,1,동률
